0wg.gs,availability,True
16r.gs,availability,True
156.gs,availability,True
14v.gs,availability,True
15b.gs,availability,True
11d.gs,availability,True
14c.gs,availability,True
11o.gs,availability,True
107.gs,availability,True
149.gs,availability,True
146.gs,availability,True
100.gs,availability,False
151.gs,availability,True
14d.gs,availability,True
12l.gs,availability,True
16z.gs,availability,True
158.gs,availability,True
11b.gs,availability,True
10d.gs,availability,True
11l.gs,availability,True
0xr.gs,availability,True
16w.gs,availability,True
0y7.gs,availability,True
0y8.gs,availability,True
139.gs,availability,True
101.gs,availability,False
12m.gs,availability,True
16u.gs,availability,True
14z.gs,availability,True
12q.gs,availability,True
16t.gs,availability,True
10p.gs,availability,True
0ya.gs,availability,True
14k.gs,availability,True
143.gs,availability,True
11m.gs,availability,True
108.gs,availability,True
105.gs,availability,True
0wh.gs,availability,True
170.gs,availability,True
0xu.gs,availability,True
159.gs,availability,True
14b.gs,availability,True
11k.gs,availability,True
12s.gs,availability,True
141.gs,availability,False
10a.gs,availability,True
148.gs,availability,True
10b.gs,availability,True
11c.gs,availability,True
154.gs,availability,True
14f.gs,availability,True
12r.gs,availability,True
11n.gs,availability,True
119.gs,availability,False
11f.gs,availability,True
14a.gs,availability,True
153.gs,availability,True
0yp.gs,availability,True
12n.gs,availability,True
12t.gs,availability,True
0zy.gs,availability,True
0z9.gs,availability,True
15c.gs,availability,True
0y3.gs,availability,True
142.gs,availability,True
145.gs,availability,True
16x.gs,availability,True
0wi.gs,availability,True
12o.gs,availability,True
0z7.gs,availability,True
14y.gs,availability,True
0yc.gs,availability,True
124.gs,availability,False
11e.gs,availability,True
0xy.gs,availability,True
113.gs,availability,False
155.gs,availability,True
0xv.gs,availability,True
10r.gs,availability,True
106.gs,availability,True
16b.gs,availability,True
179.gs,availability,True
118.gs,availability,False
157.gs,availability,True
10w.gs,availability,True
13m.gs,availability,True
0xq.gs,availability,True
17k.gs,availability,True
10n.gs,availability,True
13n.gs,availability,True
10q.gs,availability,True
17i.gs,availability,True
0zk.gs,availability,True
0y4.gs,availability,True
0y1.gs,availability,True
17x.gs,availability,True
17j.gs,availability,True
11j.gs,availability,True
150.gs,availability,True
144.gs,availability,True
10e.gs,availability,True
15j.gs,availability,True
14j.gs,availability,True
0y9.gs,availability,True
10s.gs,availability,True
10c.gs,availability,True
14h.gs,availability,True
0zo.gs,availability,True
147.gs,availability,True
189.gs,availability,False
0xn.gs,availability,True
17a.gs,availability,True
177.gs,availability,True
13s.gs,availability,True
12c.gs,availability,True
13u.gs,availability,True
0wj.gs,availability,True
178.gs,availability,True
16v.gs,availability,True
11g.gs,availability,True
0y2.gs,availability,True
15x.gs,availability,True
185.gs,availability,True
13t.gs,availability,True
0zv.gs,availability,True
140.gs,availability,True
0wq.gs,availability,True
17r.gs,availability,True
104.gs,availability,True
13h.gs,availability,True
13z.gs,availability,True
12u.gs,availability,False
0y0.gs,availability,True
182.gs,availability,True
128.gs,availability,False
17t.gs,availability,True
14e.gs,availability,True
17z.gs,availability,True
12g.gs,availability,True
102.gs,availability,True
186.gs,availability,True
10x.gs,availability,True
14i.gs,availability,True
0zf.gs,availability,True
103.gs,availability,True
15v.gs,availability,True
0zb.gs,availability,True
17u.gs,availability,True
0zl.gs,availability,True
180.gs,availability,True
0zq.gs,availability,True
14q.gs,availability,True
114.gs,availability,True
18j.gs,availability,True
0yq.gs,availability,True
193.gs,availability,False
12x.gs,availability,True
0y6.gs,availability,True
0z6.gs,availability,True
15f.gs,availability,True
13a.gs,availability,True
0zu.gs,availability,True
10y.gs,availability,True
17f.gs,availability,True
0xh.gs,availability,True
15u.gs,availability,True
15m.gs,availability,True
14o.gs,availability,True
0zc.gs,availability,True
0xp.gs,availability,True
0ww.gs,availability,True
18u.gs,availability,True
0x9.gs,availability,True
0xt.gs,availability,True
0za.gs,availability,True
11h.gs,availability,True
19a.gs,availability,True
0xm.gs,availability,True
12h.gs,availability,True
0zx.gs,availability,True
17y.gs,availability,True
184.gs,availability,True
19j.gs,availability,True
0yd.gs,availability,True
10m.gs,availability,True
0ze.gs,availability,True
10j.gs,availability,True
12d.gs,availability,True
121.gs,availability,True
17e.gs,availability,True
13w.gs,availability,True
10u.gs,availability,True
